category_id,category_name,description
1,Electronics,Products in the Electronics category
2,Clothing,Products in the Clothing category
3,Home & Garden,Products in the Home & Garden category
4,Books,Products in the Books category
5,Sports & Outdoors,Products in the Sports & Outdoors category
6,Toys & Games,Products in the Toys & Games category
7,Health & Beauty,Products in the Health & Beauty category
8,Automotive,Products in the Automotive category
9,Food & Beverages,Products in the Food & Beverages category
10,Office Supplies,Products in the Office Supplies category
