order_item_id,order_id,product_id,quantity,unit_price,subtotal
1,1,9,5,23.0,115.0
2,1,73,1,232.32,232.32
3,2,22,4,235.12,940.48
4,2,45,2,122.23,244.46
5,2,20,4,178.54,714.16
6,2,79,4,323.09,1292.36
7,2,28,1,44.08,44.08
8,3,18,1,60.08,60.08
9,4,50,3,114.19,342.57
10,4,55,3,138.74,416.22
11,4,18,2,60.08,120.16
12,4,36,1,353.89,353.89
13,4,32,5,196.26,981.3
14,5,77,5,457.19,2285.95
15,5,37,1,327.54,327.54
16,5,39,2,367.27,734.54
17,5,67,5,431.78,2158.9
18,5,66,2,133.19,266.38
19,6,38,1,321.14,321.14
20,6,31,4,124.07,496.28
21,6,50,1,114.19,114.19
22,6,31,4,124.07,496.28
23,7,10,5,360.85,1804.25
24,7,2,3,373.36,1120.08
25,7,41,2,494.87,989.74
26,7,50,5,114.19,570.95
27,7,54,3,375.04,1125.12
28,8,23,4,486.83,1947.32
29,8,10,1,360.85,360.85
30,8,76,1,383.36,383.36
31,8,2,3,373.36,1120.08
32,8,28,1,44.08,44.08
33,9,51,5,203.86,1019.3
34,10,65,4,498.1,1992.4
35,10,55,4,138.74,554.96
36,10,11,5,277.02,1385.1
37,11,79,2,323.09,646.18
38,11,36,1,353.89,353.89
39,11,40,1,236.51,236.51
40,11,66,2,133.19,266.38
41,11,20,5,178.54,892.7
42,12,51,5,203.86,1019.3
43,12,9,3,23.0,69.0
44,12,56,2,219.93,439.86
45,13,32,1,196.26,196.26
46,14,15,4,352.09,1408.36
47,14,79,5,323.09,1615.45
48,14,8,3,124.0,372.0
49,14,23,1,486.83,486.83
50,15,18,1,60.08,60.08
51,16,64,3,198.54,595.62
52,16,67,5,431.78,2158.9
53,17,22,3,235.12,705.36
54,17,17,3,479.03,1437.09
55,17,16,1,146.16,146.16
56,18,55,3,138.74,416.22
57,18,68,1,343.34,343.34
58,18,34,5,89.7,448.5
59,19,64,4,198.54,794.16
60,20,47,1,141.19,141.19
61,20,64,5,198.54,992.7
62,20,22,3,235.12,705.36
63,20,21,3,405.49,1216.47
64,20,14,5,381.82,1909.1
65,21,30,5,492.76,2463.8
66,22,6,1,299.34,299.34
67,23,6,4,299.34,1197.36
68,23,47,4,141.19,564.76
69,24,23,1,486.83,486.83
70,24,71,4,324.07,1296.28
71,25,42,2,347.2,694.4
72,25,54,3,375.04,1125.12
73,26,10,5,360.85,1804.25
74,26,48,1,457.44,457.44
75,26,65,1,498.1,498.1
76,27,29,5,121.67,608.35
77,27,6,4,299.34,1197.36
78,28,60,3,380.33,1140.99
79,29,42,1,347.2,347.2
80,29,71,4,324.07,1296.28
81,29,2,3,373.36,1120.08
82,30,38,5,321.14,1605.7
83,30,39,5,367.27,1836.35
84,31,60,3,380.33,1140.99
85,31,76,4,383.36,1533.44
86,32,70,2,377.93,755.86
87,32,20,1,178.54,178.54
88,33,4,2,60.22,120.44
89,33,70,3,377.93,1133.79
90,33,2,3,373.36,1120.08
91,33,1,4,323.32,1293.28
92,34,14,2,381.82,763.64
93,34,68,2,343.34,686.68
94,34,54,4,375.04,1500.16
95,35,19,3,57.39,172.17
96,36,6,2,299.34,598.68
97,37,53,3,139.79,419.37
98,37,59,1,259.67,259.67
99,37,75,1,139.06,139.06
100,37,65,2,498.1,996.2
101,37,51,1,203.86,203.86
102,38,73,1,232.32,232.32
103,38,56,2,219.93,439.86
104,38,31,3,124.07,372.21
105,38,34,3,89.7,269.1
106,38,51,3,203.86,611.58
107,39,58,3,498.69,1496.07
108,39,30,1,492.76,492.76
109,39,26,2,443.87,887.74
110,40,14,2,381.82,763.64
111,40,14,2,381.82,763.64
112,40,58,4,498.69,1994.76
113,40,41,4,494.87,1979.48
114,40,16,5,146.16,730.8
115,41,27,4,292.9,1171.6
116,41,40,4,236.51,946.04
117,41,34,1,89.7,89.7
118,42,21,3,405.49,1216.47
119,43,6,2,299.34,598.68
120,43,42,2,347.2,694.4
121,43,12,2,230.11,460.22
122,43,46,4,404.47,1617.88
123,43,66,1,133.19,133.19
124,44,34,2,89.7,179.4
125,44,4,4,60.22,240.88
126,44,58,5,498.69,2493.45
127,45,32,1,196.26,196.26
128,45,60,1,380.33,380.33
129,45,18,1,60.08,60.08
130,45,2,1,373.36,373.36
131,45,29,2,121.67,243.34
132,46,52,3,325.0,975.0
133,46,11,5,277.02,1385.1
134,47,34,1,89.7,89.7
135,47,3,1,119.37,119.37
136,47,26,4,443.87,1775.48
137,47,17,1,479.03,479.03
138,47,43,1,345.46,345.46
139,48,60,1,380.33,380.33
140,49,74,4,363.83,1455.32
141,49,51,4,203.86,815.44
142,50,49,4,439.42,1757.68
143,51,46,2,404.47,808.94
144,51,24,3,48.61,145.83
145,52,58,2,498.69,997.38
146,52,5,5,447.17,2235.85
147,52,80,5,107.47,537.35
148,53,38,4,321.14,1284.56
149,53,53,5,139.79,698.95
150,54,8,1,124.0,124.0
151,54,36,4,353.89,1415.56
152,54,18,4,60.08,240.32
153,54,26,5,443.87,2219.35
154,55,70,1,377.93,377.93
155,55,49,3,439.42,1318.26
156,56,70,4,377.93,1511.72
157,56,45,5,122.23,611.15
158,56,65,3,498.1,1494.3
159,56,50,3,114.19,342.57
160,57,4,3,60.22,180.66
161,57,77,2,457.19,914.38
162,58,36,1,353.89,353.89
163,59,68,3,343.34,1030.02
164,59,75,2,139.06,278.12
165,59,21,1,405.49,405.49
166,59,32,2,196.26,392.52
167,60,69,1,344.04,344.04
168,60,29,5,121.67,608.35
169,60,50,3,114.19,342.57
170,61,23,2,486.83,973.66
171,61,76,3,383.36,1150.08
172,62,76,1,383.36,383.36
173,62,46,5,404.47,2022.35
174,62,73,2,232.32,464.64
175,63,25,4,416.41,1665.64
176,63,70,3,377.93,1133.79
177,63,23,4,486.83,1947.32
178,63,5,1,447.17,447.17
179,63,8,2,124.0,248.0
180,64,29,1,121.67,121.67
181,64,68,4,343.34,1373.36
182,64,1,3,323.32,969.96
183,64,79,2,323.09,646.18
184,64,17,3,479.03,1437.09
185,65,42,1,347.2,347.2
186,65,3,2,119.37,238.74
187,66,19,1,57.39,57.39
188,66,68,3,343.34,1030.02
189,66,10,3,360.85,1082.55
190,66,51,5,203.86,1019.3
191,66,13,3,406.62,1219.86
192,67,42,2,347.2,694.4
193,67,21,4,405.49,1621.96
194,67,63,3,216.86,650.58
195,68,72,5,153.82,769.1
196,68,46,2,404.47,808.94
197,69,23,4,486.83,1947.32
198,69,40,3,236.51,709.53
199,69,17,2,479.03,958.06
200,69,1,5,323.32,1616.6
201,69,51,5,203.86,1019.3
202,70,24,5,48.61,243.05
203,71,79,2,323.09,646.18
204,71,73,1,232.32,232.32
205,71,64,2,198.54,397.08
206,72,10,2,360.85,721.7
207,72,45,3,122.23,366.69
208,72,22,1,235.12,235.12
209,73,58,1,498.69,498.69
210,73,34,2,89.7,179.4
211,73,32,1,196.26,196.26
212,74,33,1,321.49,321.49
213,74,1,1,323.32,323.32
214,74,50,4,114.19,456.76
215,75,22,4,235.12,940.48
216,75,64,4,198.54,794.16
217,75,45,5,122.23,611.15
218,75,49,1,439.42,439.42
219,76,74,2,363.83,727.66
220,76,21,4,405.49,1621.96
221,76,10,1,360.85,360.85
222,76,38,1,321.14,321.14
223,77,34,1,89.7,89.7
224,77,10,3,360.85,1082.55
225,77,22,4,235.12,940.48
226,78,10,5,360.85,1804.25
227,78,12,3,230.11,690.33
228,79,79,4,323.09,1292.36
229,79,4,4,60.22,240.88
230,79,22,5,235.12,1175.6
231,79,56,2,219.93,439.86
232,79,7,1,24.6,24.6
233,80,27,2,292.9,585.8
234,80,53,5,139.79,698.95
235,80,70,3,377.93,1133.79
236,81,39,2,367.27,734.54
237,81,13,1,406.62,406.62
238,81,51,5,203.86,1019.3
239,82,63,2,216.86,433.72
240,82,7,3,24.6,73.8
241,82,1,4,323.32,1293.28
242,82,12,3,230.11,690.33
243,82,77,4,457.19,1828.76
244,83,13,1,406.62,406.62
245,83,27,2,292.9,585.8
246,84,11,4,277.02,1108.08
247,84,15,3,352.09,1056.27
248,84,51,4,203.86,815.44
249,85,34,1,89.7,89.7
250,85,70,4,377.93,1511.72
251,85,24,3,48.61,145.83
252,85,49,3,439.42,1318.26
253,86,58,1,498.69,498.69
254,86,34,4,89.7,358.8
255,87,34,2,89.7,179.4
256,87,35,5,112.66,563.3
257,87,8,2,124.0,248.0
258,87,13,1,406.62,406.62
259,88,70,4,377.93,1511.72
260,88,76,2,383.36,766.72
261,88,71,1,324.07,324.07
262,89,67,4,431.78,1727.12
263,89,69,4,344.04,1376.16
264,89,74,2,363.83,727.66
265,89,61,3,63.73,191.19
266,90,51,1,203.86,203.86
267,91,74,5,363.83,1819.15
268,91,74,5,363.83,1819.15
269,91,19,1,57.39,57.39
270,91,58,2,498.69,997.38
271,91,22,2,235.12,470.24
272,92,17,1,479.03,479.03
273,92,55,1,138.74,138.74
274,93,26,2,443.87,887.74
275,93,77,3,457.19,1371.57
276,93,41,1,494.87,494.87
277,93,12,4,230.11,920.44
278,94,51,5,203.86,1019.3
279,94,42,3,347.2,1041.6
280,94,67,4,431.78,1727.12
281,94,2,5,373.36,1866.8
282,94,76,5,383.36,1916.8
283,95,15,4,352.09,1408.36
284,95,20,2,178.54,357.08
285,95,73,5,232.32,1161.6
286,95,75,1,139.06,139.06
287,96,73,1,232.32,232.32
288,97,69,3,344.04,1032.12
289,97,53,3,139.79,419.37
290,97,50,4,114.19,456.76
291,98,78,4,316.4,1265.6
292,98,5,2,447.17,894.34
293,98,36,4,353.89,1415.56
294,98,19,5,57.39,286.95
295,98,78,4,316.4,1265.6
296,99,51,3,203.86,611.58
297,100,7,4,24.6,98.4
298,100,35,3,112.66,337.98
299,101,44,3,386.47,1159.41
300,102,36,4,353.89,1415.56
301,102,13,2,406.62,813.24
302,102,18,3,60.08,180.24
303,103,42,3,347.2,1041.6
304,103,54,5,375.04,1875.2
305,103,12,2,230.11,460.22
306,103,57,2,205.71,411.42
307,104,63,5,216.86,1084.3
308,104,48,1,457.44,457.44
309,104,66,2,133.19,266.38
310,104,9,3,23.0,69.0
311,105,52,2,325.0,650.0
312,105,68,5,343.34,1716.7
313,105,4,2,60.22,120.44
314,105,25,2,416.41,832.82
315,105,8,2,124.0,248.0
316,106,59,1,259.67,259.67
317,107,26,3,443.87,1331.61
318,107,48,4,457.44,1829.76
319,107,65,4,498.1,1992.4
320,108,4,2,60.22,120.44
321,109,63,5,216.86,1084.3
322,109,58,2,498.69,997.38
323,109,61,5,63.73,318.65
324,110,45,3,122.23,366.69
325,110,21,3,405.49,1216.47
326,110,12,3,230.11,690.33
327,110,4,4,60.22,240.88
328,110,7,2,24.6,49.2
329,111,28,2,44.08,88.16
330,111,29,2,121.67,243.34
331,111,35,4,112.66,450.64
332,111,66,1,133.19,133.19
333,111,2,4,373.36,1493.44
334,112,23,5,486.83,2434.15
335,112,2,2,373.36,746.72
336,113,78,3,316.4,949.2
337,113,36,4,353.89,1415.56
338,113,49,3,439.42,1318.26
339,114,33,2,321.49,642.98
340,114,60,3,380.33,1140.99
341,114,67,5,431.78,2158.9
342,114,51,5,203.86,1019.3
343,115,1,5,323.32,1616.6
344,116,72,5,153.82,769.1
345,116,78,3,316.4,949.2
346,116,39,1,367.27,367.27
347,117,9,3,23.0,69.0
348,117,36,3,353.89,1061.67
349,117,36,3,353.89,1061.67
350,117,39,2,367.27,734.54
351,118,67,2,431.78,863.56
352,118,8,5,124.0,620.0
353,119,41,2,494.87,989.74
354,119,4,4,60.22,240.88
355,119,38,3,321.14,963.42
356,119,54,4,375.04,1500.16
357,120,5,5,447.17,2235.85
358,120,74,2,363.83,727.66
359,120,44,2,386.47,772.94
360,120,69,4,344.04,1376.16
361,121,65,3,498.1,1494.3
362,121,22,5,235.12,1175.6
363,121,24,3,48.61,145.83
364,122,61,2,63.73,127.46
365,123,72,2,153.82,307.64
366,123,43,1,345.46,345.46
367,123,29,3,121.67,365.01
368,124,40,4,236.51,946.04
369,124,43,3,345.46,1036.38
370,125,75,3,139.06,417.18
371,125,60,1,380.33,380.33
372,125,61,1,63.73,63.73
373,126,75,5,139.06,695.3
374,126,10,4,360.85,1443.4
375,126,25,5,416.41,2082.05
376,126,16,4,146.16,584.64
377,126,68,3,343.34,1030.02
378,127,7,2,24.6,49.2
379,127,18,2,60.08,120.16
380,127,44,4,386.47,1545.88
381,127,73,4,232.32,929.28
382,128,41,2,494.87,989.74
383,128,11,4,277.02,1108.08
384,129,23,3,486.83,1460.49
385,129,8,1,124.0,124.0
386,129,58,3,498.69,1496.07
387,130,22,5,235.12,1175.6
388,130,21,4,405.49,1621.96
389,131,17,5,479.03,2395.15
390,132,55,4,138.74,554.96
391,132,55,4,138.74,554.96
392,132,50,1,114.19,114.19
393,132,5,5,447.17,2235.85
394,133,48,1,457.44,457.44
395,133,42,5,347.2,1736.0
396,134,3,1,119.37,119.37
397,134,32,2,196.26,392.52
398,135,40,2,236.51,473.02
399,135,14,4,381.82,1527.28
400,135,65,5,498.1,2490.5
401,136,22,1,235.12,235.12
402,136,6,3,299.34,898.02
403,136,38,4,321.14,1284.56
404,137,77,5,457.19,2285.95
405,137,44,4,386.47,1545.88
406,137,18,3,60.08,180.24
407,137,63,3,216.86,650.58
408,137,25,2,416.41,832.82
409,138,3,2,119.37,238.74
410,138,29,2,121.67,243.34
411,138,28,1,44.08,44.08
412,138,76,5,383.36,1916.8
413,139,16,3,146.16,438.48
414,139,5,4,447.17,1788.68
415,140,69,5,344.04,1720.2
416,140,7,5,24.6,123.0
417,140,7,1,24.6,24.6
418,141,7,1,24.6,24.6
419,142,57,4,205.71,822.84
420,142,16,5,146.16,730.8
421,142,33,4,321.49,1285.96
422,142,20,2,178.54,357.08
423,143,39,4,367.27,1469.08
424,144,67,3,431.78,1295.34
425,145,78,2,316.4,632.8
426,145,54,1,375.04,375.04
427,145,66,5,133.19,665.95
428,145,16,3,146.16,438.48
429,145,15,1,352.09,352.09
430,146,26,5,443.87,2219.35
