product_id,product_name,category_id,price,stock_quantity,description,created_at
1,Laptop Purpose,1,323.32,25,"Score each cause. Quality throughout beautiful instead.
Despite measure ago current.",2025-01-15
2,Smartphone Finally,1,373.36,250,Seem shoulder future fall citizen about reveal. Will seven medical blood personal.,2025-08-08
3,Tablet Authority,1,119.37,754,Eat couple large instead. Leg themselves away space task. Anything yourself structure why.,2024-11-01
4,Headphones Feeling,1,60.22,758,Walk now often always. Information on mission various. Prove fire enter capital population.,2025-04-12
5,Smartwatch Body,1,447.17,89,Break blood network evening painting. Data plant enough major town suffer.,2025-01-10
6,Camera Also,1,299.34,32,Agent say forward us soon ten. Environment skin blue the teach.,2024-01-06
7,Speaker Spring,1,24.6,223,Political hundred wonder movie voice boy. Condition while enter board its.,2025-09-02
8,Monitor Capital,1,124.0,616,Finally impact I fast camera inside wait. Past feeling nature a.,2024-06-21
9,T-Shirt Myself,2,23.0,203,Despite sound receive let newspaper true. Lead soon property write.,2024-01-02
10,Jeans Join,2,360.85,718,My indeed deal information toward once. Task she herself. Wall fear hope.,2023-12-23
11,Jacket Ever,2,277.02,225,Deep force seven here sell story. Strong like see appear weight. Practice sit prepare senior wear.,2024-03-23
12,Sneakers Police,2,230.11,284,Firm sea week real course. Everybody operation set others wonder strategy fast.,2025-09-13
13,Dress Mean,2,406.62,6,Husband available picture approach. Specific we be easy.,2024-10-28
14,Hat Risk,2,381.82,163,Water positive child usually factor relate indeed. Woman during necessary himself two meet these.,2025-04-09
15,Socks Might,2,352.09,348,Mrs generation necessary myself lay focus country. Occur do simply analysis seat.,2024-09-17
16,Shorts Rate,2,146.16,220,System teacher here first responsibility service. Along attention piece TV young section its.,2025-01-26
17,Lamp Rest,3,479.03,344,Company participant him raise. Tree central leave effect effort act source.,2025-02-02
18,Chair Find,3,60.08,389,Within probably ever. Ten sing wind treat seat strategy total.,2025-02-06
19,Table His,3,57.39,867,Travel force indeed customer. Theory hand maybe evening clearly trial want.,2024-11-01
20,Plant Pot Home,3,178.54,270,Break doctor Mr home he we recent. Industry score choice increase between majority impact.,2024-08-18
21,Garden Tool Ask,3,405.49,747,Economy company produce ago address so draw. Administration enter camera inside box as.,2025-01-12
22,Cushion Seem,3,235.12,127,Billion medical choice lot suggest glass. Happen several off southern suddenly window stand.,2024-03-15
23,Curtains Somebody,3,486.83,387,Week physical less nor. Large under north play person ten physical character.,2024-01-23
24,Rug Possible,3,48.61,300,Improve put down. Particular sell six doctor dream whole. Tough create question now key show sing.,2025-08-09
25,Novel Little,4,416.41,633,Increase how hear. Yes heart agreement us stuff practice. Case expert stop receive.,2024-01-01
